siteid,sitename,plotid,easting,northing,taxonid,scientificname,stemheight
SOAP,Soaproot Saddle,SOAP1563,297694.4,4101214.5,ARVI4,Arctostaphylos viscida,1.4
SOAP,Soaproot Saddle,SOAP143,299839,4100411,ARVI4,Arctostaphylos viscida,0.8
SOAP,Soaproot Saddle,SOAP1343,299605,4100970,ARVI4,Arctostaphylos viscida,1.9
SOAP,Soaproot Saddle,SOAP1695,299170.9,4100970.5,ARVI4,Arctostaphylos viscida,2
SOAP,Soaproot Saddle,SOAP143,299848.7,4100421.5,ARVI4,Arctostaphylos viscida,1.2
SOAP,Soaproot Saddle,SOAP1611,297440,4100578,ARVI4,Arctostaphylos viscida,1.3
SOAP,Soaproot Saddle,SOAP1563,297707.3,4101219.5,ARVI4,Arctostaphylos viscida,0.5
SOAP,Soaproot Saddle,SOAP1515,297514.3,4101259.8,ARVI4,Arctostaphylos viscida,1.5
SOAP,Soaproot Saddle,SOAP1695,299188.5,4100970.5,ARVI4,Arctostaphylos viscida,4.2
SOAP,Soaproot Saddle,SOAP1563,297696.8,4101231,ARVI4,Arctostaphylos viscida,0.9
SOAP,Soaproot Saddle,SOAP255,300147.6,4101386.5,ARVI4,Arctostaphylos viscida,0.8
SOAP,Soaproot Saddle,SOAP143,299833.8,4100413.5,ARVI4,Arctostaphylos viscida,1.5
SOAP,Soaproot Saddle,SOAP1695,299174.7,4100970.2,ARVI4,Arctostaphylos viscida,2.5
SOAP,Soaproot Saddle,SOAP255,300139.8,4101377.5,ARVI4,Arctostaphylos viscida,1.5
SOAP,Soaproot Saddle,SOAP1695,299169.7,4100968.5,ARVI4,Arctostaphylos viscida,2.8
SOAP,Soaproot Saddle,SOAP1515,297514.5,4101249,ARVI4,Arctostaphylos viscida,1.7
SOAP,Soaproot Saddle,SOAP1515,297508.4,4101260,ARVI4,Arctostaphylos viscida,2
SOAP,Soaproot Saddle,SOAP143,299851.3,4100422.8,ARVI4,Arctostaphylos viscida,2.1
SOAP,Soaproot Saddle,SOAP1695,299176.6,4100955.5,ARVI4,Arctostaphylos viscida,2.7
SOAP,Soaproot Saddle,SOAP139,297046,4100097.2,ARVI4,Arctostaphylos viscida,2.5
SOAP,Soaproot Saddle,SOAP143,299852.1,4100423,ARVI4,Arctostaphylos viscida,2
SOAP,Soaproot Saddle,SOAP1695,299178.7,4100970,ARVI4,Arctostaphylos viscida,2.7
SOAP,Soaproot Saddle,SOAP555,297112.8,4100913,ARVI4,Arctostaphylos viscida,1
SOAP,Soaproot Saddle,SOAP255,300145.3,4101387,ARVI4,Arctostaphylos viscida,3.2
SOAP,Soaproot Saddle,SOAP1695,299173.5,4100967,ARVI4,Arctostaphylos viscida,2.5
SOAP,Soaproot Saddle,SOAP255,300134.4,4101384.8,CADE27,Calocedrus decurrens,1.9
SOAP,Soaproot Saddle,SOAP255,300153.1,4101371,ARVI4,Arctostaphylos viscida,1.1
