slug,tag_name,start_date,attendance,host_name,country
2013-06-04-dssg,SWC,2013-06-04,43,University of Chicago,US
2013-06-06-sfu,SWC,2013-06-06,37,Simon Fraser University,CA
2013-06-10-salk,SWC,2013-06-09,36,Salk Institute,US
2013-06-17-chicago,SWC,2013-06-17,44,University of Chicago,US
2013-06-24-wise,"WiSE,SWC",2013-06-24,118,Software Carpentry,US
2013-06-25-scipy,SWC,2013-06-25,25,SciPy Conference,US
2013-07-01-christchurch,SWC,2013-07-01,19,New Zealand eScience Infrastructure,NZ
2013-07-01-oklahoma,SWC,2013-07-01,40,University of Oklahoma,US
2013-07-03-oslo,SWC,2013-07-03,31,University of Oslo,NO
2013-07-08-wuhan,SWC,2013-07-08,24,Wuhan Institute of Virology,CN
2013-07-11-indiana,SWC,2013-07-11,28,Indiana University,US
2013-07-15-bath,SWC,2013-07-15,25,University of Bath,GB
2013-07-15-vt,SWC,2013-07-15,21,Virginia Tech,US
2013-07-16-cuahsi,SWC,2013-07-25,40,Utah State University,US
2013-07-18-notredame,SWC,2013-07-18,41,University of Notre Dame,US
2013-07-18-washington,SWC,2013-07-18,32,University of Washington,US
2013-07-27-cmu,SWC,2013-07-27,38,Carnegie Mellon University,US
2013-08-04-esa,SWC,2013-08-04,12,Ecological Society of America,US
2013-08-12-ttt-online,"TTT,online",2013-08-12,41,Software Carpentry,W3
2013-08-22-ku,SWC,2013-08-22,41,University of Kansas,US
2013-08-23-harvard,SWC,2013-08-23,33,Harvard University,US
2013-08-27-erdc,SWC,2013-08-27,34,US Army Engineer Research and Development Center,US
2013-08-28-wisc,SWC,2013-08-28,34,University of Wisconsin - Madison,US
2013-09-05-iowa,SWC,2013-09-05,31,University of Iowa,US
2013-09-12-bristol,SWC,2013-09-12,27,University of Bristol,GB
2013-09-16-ISI,SWC,2013-09-16,27,Information Sciences Institute,US
2013-09-16-stsci,SWC,2013-09-16,18,Space Telescope Science Institute,US
2013-09-19-chicago,SWC,2013-09-19,49,University of Chicago,US
2013-09-21-uwaterloo,SWC,2013-09-21,44,University of Waterloo,CA
2013-09-23-msu,SWC,2013-09-23,37,Michigan State University,US
2013-09-24-acpfgA,SWC,2013-09-24,20,Australian Centre for Plant Functional Genomics,AU
2013-09-26-ubc,SWC,2013-09-26,24,University of British Columbia,CA
2013-09-27-ucl,SWC,2013-09-27,32,University College London,GB
2013-09-30-ttt-online,"TTT,online",2013-09-30,57,Software Carpentry,W3
2013-10-01-acpfgM,SWC,2013-10-01,27,Australian Centre for Plant Functional Genomics,AU
2013-10-03-pasteur,SWC,2013-10-03,19,Pasteur Institute,FR
2013-10-09-canberra,SWC,2013-10-09,35,Australian National University,AU
2013-10-17-uic,SWC,2013-10-17,40,University of Illinois at Chicago,US
2013-10-24-greenwich,SWC,2013-10-24,36,"Greenwich Digital Enterprise, London",GB
2013-10-25-columbia,SWC,2013-10-25,27,New York University,US
2013-10-29-vertpaleo,SWC,2013-10-29,8,Society of Vertebrate Paleontology,US
2013-11-14-exeter,SWC,2013-11-14,23,University of Exeter,GB
2013-11-14-whoi,SWC,2013-11-14,35,Woods Hole Oceanographic Institute,US
2013-11-18-lbl,SWC,2013-11-18,32,Lawrence Berkeley National Laboratory,US
2013-11-23-berkeley,SWC,2013-11-23,20,University of California Berkeley,US
2013-11-25-unimelb,SWC,2013-11-25,36,University of Melbourne,AU
2013-12-03-edinburgh,SWC,2013-12-03,34,University of Edinburgh,GB
2013-12-03-sesync,SWC,2013-12-03,42,National Socio-Environmental Synthesis Center,US
2013-12-12-glasgow,SWC,2013-12-12,43,Scottish Universities Physics Alliance,GB
2013-12-16-dundee,SWC,2013-12-16,32,University of Dundee,GB
2014-01-06-unb,SWC,2014-01-06,20,University of New Brunswick,CA
2014-01-07-cam,SWC,2014-01-07,24,University of Cambridge,GB
2014-01-08-iastate,SWC,2014-01-08,64,Iowa State University,US
2014-01-13-uri,SWC,2014-01-13,40,University of Rhode Island,US
2014-01-13-wisc,SWC,2014-01-13,32,University of Wisconsin - Madison,US
2014-01-14-manchester,SWC,2014-01-14,19,University of Manchester,GB
2014-01-16-ttt-online,"TTT,online",2014-01-16,67,Software Carpentry,W3
2014-01-18-ucb,SWC,2014-01-18,21,University of California Berkeley,US
2014-01-20-montreal,SWC,2014-01-20,26,Computer Research Institute of Montreal,CA
2014-01-21-erdc,SWC,2014-01-21,26,US Army Engineer Research and Development Center,US
2014-01-27-Stanford,SWC,2014-01-27,28,Stanford University,US
2014-01-27-miami,SWC,2014-01-27,120,University of Miami,US
2014-01-30-cse,SWC,2014-01-30,28,University of Illinois at Urbana-Champaign,US
2014-01-30-mit,SWC,2014-01-30,30,Massachusetts Institute of Technology,US
2014-01-31-ucsb,SWC,2014-01-31,36,University of California Santa Barbara,US
2014-02-03-TGAC,SWC,2014-02-03,24,The Genome Analysis Centre,GB
2014-02-10-hobart,SWC,2014-02-10,37,AMOS Conference (Melbourne),AU
2014-02-11-toronto,SWC,2014-02-11,23,Mozilla Foundation,CA
2014-02-13-UNSW,SWC,2014-02-13,38,University of New South Wales,AU
2014-02-15-umkc,SWC,2014-02-15,27,University of Missouri-Kansas City,US
2014-02-18-UCL,SWC,2014-02-18,27,University College London,GB
2014-02-18-UTS,SWC,2014-02-18,29,University of Technology Sydney,AU
2014-02-18-aims,SWC,2014-02-18,24,African Institute of Mathematical Sciences,GH
2014-02-22-SFU,SWC,2014-02-22,47,Simon Fraser University,CA
2014-02-24-esac,SWC,2014-02-24,42,European Space Astronomy Centre,ES
2014-02-28-ethz,SWC,2014-02-28,27,Swiss Federal Institute of Technology Zurich,CH
2014-03-10-uva,SWC,2014-03-10,37,University of Virginia,US
2014-03-17-nyu,SWC,2014-03-17,70,New York University,US
2014-03-17-purdue,SWC,2014-03-17,25,Purdue University,US
2014-03-17-ucb,SWC,2014-03-17,74,University of California Berkeley,US
2014-03-17-uw,SWC,2014-03-17,74,University of Washington,US
2014-03-18-combine,SWC,2014-03-18,42,University of Melbourne,AU
2014-04-02-uvic,SWC,2014-04-02,26,University of Victoria,CA
2014-04-03-sdu,SWC,2014-04-03,20,University of Southern Denmark,DK
2014-04-04-ou,SWC,2014-04-04,39,University of Oklahoma,US
2014-04-09-GARNET,SWC,2014-04-09,28,University of Warwick,GB
2014-04-09-ucar,SWC,2014-04-09,12,University Corporation for Atmospheric Research,US
2014-04-14-pycon,SWC,2014-04-14,40,PyCon,CA
2014-04-14-pycon-lib,SWC,2014-04-14,41,PyCon,CA
2014-04-14-pycon-ngs,SWC,2014-04-14,39,PyCon,CA
2014-04-14-pycon-r,SWC,2014-04-14,40,PyCon,CA
2014-04-14-ttt-pycon,"TTT,online",2014-04-14,34,Software Carpentry,W3
2014-04-14-wise,"WiSE,SWC",2014-04-14,130,Software Carpentry,US
2014-04-23-uib,SWC,2014-04-23,25,University of Bergen,NO
2014-04-24-ttt-online,"TTT,online",2014-04-24,58,Software Carpentry,W3
2014-04-28-ttt-mozilla,"TTT,online",2014-04-28,43,Software Carpentry,W3
2014-04-29-gwu,SWC,2014-04-29,23,George Washington University,US
2014-05-05-mcmaster,SWC,2014-05-05,30,McMaster University,CA
2014-05-08-datacarpentry,SWC,2014-05-08,30,NESCENT,US
2014-05-08-soton,SWC,2014-05-08,39,University of Southampton,GB
2014-05-12-cshl,SWC,2014-05-12,36,Cold Spring Harbor Laboratory,US
2014-05-12-furg,SWC,2014-05-12,30,Universidade Federal do Rio Grande,BR
2014-05-12-oicr-toronto,SWC,2014-05-12,15,Mozilla Foundation,CA
2014-05-12-ubc,SWC,2014-05-12,16,University of British Columbia,CA
2014-05-19-scilifelab,SWC,2014-05-19,54,"Science Life Lab, Stockholm",SE
2014-05-19-ucl,SWC,2014-05-19,12,University College London,GB
2014-05-23-csdms,SWC,2014-05-23,39,Community Surface Dynamics Modeling System,US
2014-05-29-ucsd,SWC,2014-05-29,39,Scripps Institute,US
2014-06-02-icl-geo,"SWC,unresponsive",2014-06-02,,Imperial College London,GB
2014-06-02-monash,SWC,2014-06-02,36,Monash University,AU
2014-06-02-ou,SWC,2014-06-02,12,University of Oklahoma,US
2014-06-03-cern,SWC,2014-06-04,31,Universita di Pisa,IT
2014-06-04-cornell,SWC,2014-06-04,43,Cornell University,US
2014-06-05-ttt-online,"TTT,online",2014-06-05,29,Software Carpentry,W3
2014-06-10-cyi,SWC,2014-06-10,25,Cyprus Institute,CY
2014-06-10-spelman,SWC,2014-06-10,49,Spelman College,US
2014-06-11-ttt-online,"TTT,online",2014-06-11,59,Software Carpentry,W3
2014-06-15-khbp,SWC,2014-06-15,34,SESAME,JO
2014-06-16-claremont,SWC,2014-06-16,81,Claremont Colleges,US
2014-06-16-davis,SWC,2014-06-16,82,University of California Davis,US
2014-06-16-duke,SWC,2014-06-16,33,Duke University,US
2014-06-16-toronto,SWC,2014-06-16,38,Mozilla Foundation,CA
2014-06-20-yale,SWC,2014-06-20,38,Yale University,US
2014-06-22-caims,SWC,2014-06-22,6,Canadian Applied and Industrial Mathematics Society,CA
2014-06-24-ru,SWC,2014-06-24,53,Rockefeller University,US
2014-06-24-wise-penn,"WiSE,SWC",2014-06-24,54,University of Pennsylvania,US
2014-06-25-Reading,SWC,2014-06-25,27,University of Reading,GB
2014-06-26-nd,SWC,2014-06-26,34,University of Notre Dame,US
2014-06-30-stanford,SWC,2014-06-30,30,Stanford University,US
2014-07-02-smu,SWC,2014-07-02,39,Saint Mary's University,CA
2014-07-08-stonybrook,SWC,2014-07-08,33,Stony Brook University,US
2014-07-08-wise-toronto,"WiSE,SWC",2014-07-08,44,University of Toronto,CA
2014-07-10-Nottingham,SWC,2014-07-10,25,University of Nottingham,GB
2014-07-10-esip,SWC,2014-07-10,18,Federation of Earth Science Information Partners,US
2014-07-14-Dalhousie,SWC,2014-07-14,34,Dalhousie University,CA
2014-07-17-aspb,SWC,2014-07-17,38,American Society of Plant Biologists,US
2014-07-19-umich,SWC,2014-07-19,38,University of Michigan,US
