date_awarded,first_wkshp,days
04/01/16,02/01/16,-60
04/01/16,02/01/16,-60
05/01/14,02/01/14,-89
02/01/16,11/01/15,-92
02/01/18,12/01/17,-62
07/01/13,05/01/13,-61
09/01/17,07/01/17,-62
06/01/16,03/01/16,-92
12/01/12,10/01/12,-61
12/01/12,10/01/12,-61
05/01/16,03/01/16,-61
11/01/16,08/01/16,-92
12/01/17,10/01/17,-61
05/01/14,02/01/14,-89
04/01/17,02/01/17,-59
01/01/16,11/01/15,-61
01/01/16,11/01/15,-61
02/01/17,12/01/16,-62
04/01/17,02/01/17,-59
12/01/12,10/01/12,-61
07/01/13,05/01/13,-61
03/01/16,01/01/16,-60
12/01/16,10/01/16,-61
12/01/12,10/01/12,-61
09/01/14,07/01/14,-62
11/01/14,09/01/14,-61
05/01/17,03/01/17,-61
08/01/14,06/01/14,-61
03/01/16,02/01/16,-29
04/01/17,02/01/17,-59
04/01/17,02/01/17,-59
03/01/16,02/01/16,-29
10/01/17,08/01/17,-61
12/01/12,10/01/12,-61
11/01/14,09/01/14,-61
08/01/17,06/01/17,-61
10/01/17,08/01/17,-61
11/01/13,09/01/13,-61
09/01/17,07/01/17,-62
10/01/17,08/01/17,-61
09/01/15,08/01/15,-31
03/01/18,01/01/18,-59
03/01/16,01/01/16,-60
06/01/16,04/01/16,-61
08/01/14,06/01/14,-61
11/01/17,09/01/17,-61
04/01/18,02/01/18,-59
09/01/17,07/01/17,-62
04/01/15,03/01/15,-31
07/01/14,06/01/14,-30
01/01/16,12/01/15,-31
03/01/17,01/01/17,-59
05/01/18,03/01/18,-61
12/01/16,11/01/16,-30
12/01/17,11/01/17,-30
03/01/16,02/01/16,-29
03/01/16,02/01/16,-29
03/01/17,02/01/17,-28
07/01/17,06/01/17,-30
05/01/16,03/01/16,-61
01/01/16,12/01/15,-31
12/01/17,10/01/17,-61
12/01/12,11/01/12,-30
01/01/18,12/01/17,-31
01/01/18,12/01/17,-31
10/01/16,09/01/16,-30
01/01/17,12/01/16,-31
04/01/18,03/01/18,-31
04/01/14,03/01/14,-31
07/01/15,06/01/15,-30
06/01/16,05/01/16,-31
03/01/15,02/01/15,-28
09/01/17,08/01/17,-31
09/01/17,08/01/17,-31
10/01/16,08/01/16,-61
12/01/17,10/01/17,-61
08/01/14,07/01/14,-31
12/01/12,11/01/12,-30
06/01/17,04/01/17,-61
07/01/17,05/01/17,-61
04/01/18,03/01/18,-31
07/01/13,06/01/13,-30
07/01/13,06/01/13,-30
05/01/14,04/01/14,-30
03/01/16,02/01/16,-29
05/01/14,04/01/14,-30
11/01/13,10/01/13,-31
06/01/17,05/01/17,-31
02/01/16,01/01/16,-31
02/01/16,01/01/16,-31
11/01/14,10/01/14,-31
02/01/18,01/01/18,-31
12/01/17,11/01/17,-30
12/01/17,11/01/17,-30
02/01/16,02/01/16,0
03/01/16,02/01/16,-29
03/01/17,02/01/17,-28
06/01/17,05/01/17,-31
07/01/17,07/01/17,0
02/01/16,01/01/16,-31
02/01/16,01/01/16,-31
05/01/14,04/01/14,-30
10/01/17,09/01/17,-30
09/01/17,08/01/17,-31
11/01/13,10/01/13,-31
02/01/16,01/01/16,-31
12/01/12,11/01/12,-30
12/01/12,11/01/12,-30
06/01/17,05/01/17,-31
07/01/13,07/01/13,0
08/01/17,07/01/17,-31
05/01/14,04/01/14,-30
12/01/12,11/01/12,-30
08/01/17,08/01/17,0
04/01/17,03/01/17,-31
04/01/18,03/01/18,-31
08/01/14,07/01/14,-31
11/01/13,10/01/13,-31
03/01/16,02/01/16,-29
10/01/14,09/01/14,-30
02/01/15,02/01/15,0
11/01/14,11/01/14,0
06/01/15,05/01/15,-31
02/01/16,02/01/16,0
02/01/16,02/01/16,0
02/01/16,02/01/16,0
02/01/16,02/01/16,0
02/01/16,02/01/16,0
02/01/16,02/01/16,0
10/01/17,10/01/17,0
07/01/15,06/01/15,-30
03/01/16,03/01/16,0
12/01/17,12/01/17,0
04/01/16,04/01/16,0
01/01/16,01/01/16,0
07/01/14,07/01/14,0
02/01/16,02/01/16,0
09/01/15,09/01/15,0
03/01/18,02/01/18,-28
04/01/16,04/01/16,0
07/01/16,07/01/16,0
01/01/16,01/01/16,0
05/01/17,05/01/17,0
05/01/17,05/01/17,0
11/01/14,11/01/14,0
03/01/15,03/01/15,0
08/01/14,08/01/14,0
08/01/15,08/01/15,0
12/01/14,12/01/14,0
02/01/15,02/01/15,0
02/01/15,02/01/15,0
11/01/14,10/01/14,-31
04/01/16,04/01/16,0
10/01/14,10/01/14,0
06/01/15,06/01/15,0
09/01/16,09/01/16,0
07/01/13,07/01/13,0
07/01/13,07/01/13,0
05/01/18,05/01/18,0
05/01/14,05/01/14,0
06/01/17,05/01/17,-31
06/01/17,05/01/17,-31
10/01/17,10/01/17,0
02/01/17,02/01/17,0
02/01/16,02/01/16,0
11/01/17,11/01/17,0
02/01/18,02/01/18,0
01/01/17,01/01/17,0
01/01/16,01/01/16,0
03/01/16,03/01/16,0
03/01/16,03/01/16,0
07/01/15,07/01/15,0
05/01/14,05/01/14,0
11/01/14,11/01/14,0
03/01/16,03/01/16,0
01/01/18,01/01/18,0
05/01/16,05/01/16,0
05/01/16,05/01/16,0
10/01/16,10/01/16,0
03/01/18,03/01/18,0
04/01/16,05/01/16,30
02/01/16,02/01/16,0
02/01/16,02/01/16,0
11/01/15,11/01/15,0
08/01/17,08/01/17,0
01/01/15,01/01/15,0
01/01/15,01/01/15,0
03/01/18,03/01/18,0
08/01/17,09/01/17,31
05/01/16,05/01/16,0
05/01/18,05/01/18,0
10/01/14,10/01/14,0
02/01/15,03/01/15,28
04/01/18,04/01/18,0
09/01/14,09/01/14,0
12/01/17,12/01/17,0
11/01/14,12/01/14,30
06/01/15,07/01/15,30
12/01/14,01/01/15,31
04/01/16,05/01/16,30
03/01/16,03/01/16,0
12/01/17,12/01/17,0
08/01/17,08/01/17,0
04/01/15,05/01/15,30
05/01/16,05/01/16,0
08/01/16,08/01/16,0
10/01/17,10/01/17,0
01/01/18,02/01/18,31
04/01/16,04/01/16,0
03/01/16,03/01/16,0
10/01/17,10/01/17,0
11/01/13,12/01/13,30
04/01/16,04/01/16,0
12/01/14,01/01/15,31
09/01/14,10/01/14,30
02/01/15,02/01/15,0
02/01/16,02/01/16,0
02/01/16,02/01/16,0
04/01/18,04/01/18,0
05/01/17,05/01/17,0
12/01/17,01/01/18,31
01/01/15,01/01/15,0
05/01/14,05/01/14,0
07/01/17,07/01/17,0
09/01/17,10/01/17,30
02/01/18,03/01/18,28
09/01/15,10/01/15,30
03/01/17,04/01/17,31
12/01/17,01/01/18,31
12/01/12,01/01/13,31
12/01/14,01/01/15,31
08/01/17,08/01/17,0
04/01/16,05/01/16,30
06/01/16,07/01/16,30
02/01/17,03/01/17,28
01/01/17,02/01/17,31
05/01/18,06/01/18,31
03/01/16,04/01/16,31
05/01/16,06/01/16,31
05/01/17,06/01/17,31
12/01/17,01/01/18,31
05/01/15,06/01/15,31
02/01/16,03/01/16,29
03/01/16,03/01/16,0
08/01/16,09/01/16,31
08/01/17,09/01/17,31
02/01/16,03/01/16,29
01/01/17,02/01/17,31
12/01/17,01/01/18,31
05/01/15,06/01/15,31
05/01/14,06/01/14,31
12/01/14,01/01/15,31
12/01/14,01/01/15,31
08/01/17,09/01/17,31
08/01/17,09/01/17,31
02/01/18,03/01/18,28
09/01/16,10/01/16,30
06/01/15,07/01/15,30
03/01/15,04/01/15,31
03/01/15,04/01/15,31
12/01/15,01/01/16,31
07/01/16,08/01/16,31
12/01/16,01/01/17,31
07/01/15,08/01/15,31
12/01/17,01/01/18,31
12/01/14,01/01/15,31
02/01/15,04/01/15,59
02/01/15,04/01/15,59
02/01/15,04/01/15,59
11/01/14,01/01/15,61
02/01/15,04/01/15,59
05/01/15,06/01/15,31
09/01/15,10/01/15,30
06/01/15,07/01/15,30
06/01/17,07/01/17,30
02/01/16,03/01/16,29
03/01/16,05/01/16,61
07/01/17,08/01/17,31
02/01/18,03/01/18,28
03/01/15,04/01/15,31
05/01/15,06/01/15,31
10/01/15,11/01/15,31
02/01/18,04/01/18,59
03/01/17,05/01/17,61
01/01/18,03/01/18,59
05/01/14,06/01/14,31
04/01/15,06/01/15,61
09/01/15,11/01/15,61
12/01/16,01/01/17,31
05/01/14,06/01/14,31
04/01/16,05/01/16,30
07/01/13,09/01/13,62
04/01/16,05/01/16,30
02/01/16,03/01/16,29
04/01/16,06/01/16,61
11/01/14,01/01/15,61
05/01/15,06/01/15,31
02/01/15,03/01/15,28
04/01/16,05/01/16,30
03/01/16,04/01/16,31
08/01/16,09/01/16,31
07/01/17,08/01/17,31
12/01/17,02/01/18,62
09/01/17,10/01/17,30
12/01/17,02/01/18,62
12/01/14,01/01/15,31
11/01/15,01/01/16,61
12/01/17,01/01/18,31
01/01/18,03/01/18,59
05/01/15,07/01/15,61
10/01/14,12/01/14,61
06/01/17,08/01/17,61
11/01/13,01/01/14,61
11/01/13,01/01/14,61
07/01/17,09/01/17,62
02/01/16,04/01/16,60
04/01/16,05/01/16,30
03/01/17,05/01/17,61
12/01/14,02/01/15,62
02/01/16,03/01/16,29
02/01/16,04/01/16,60
07/01/16,09/01/16,62
03/01/16,05/01/16,61
08/01/16,10/01/16,61
02/01/18,03/01/18,28
03/01/17,05/01/17,61
08/01/16,10/01/16,61
09/01/16,11/01/16,61
07/01/17,09/01/17,62
01/01/15,03/01/15,59
01/01/18,03/01/18,59
05/01/15,07/01/15,61
01/01/16,03/01/16,60
04/01/18,06/01/18,61
05/01/17,07/01/17,61
