Start Day UTC,Start time Pacific,Start time UTC,Minutes,Session name,Session type,Room,Retrieved,Confirmed,Filename
"4 August, 2022",7:00:00 AM,2:00:00 PM,90,Planning HPC Carpentry's Route to Joining The Carpentries,Breakout Session,Room2,TRUE,TRUE,"Room2-Aug 04, 2022 6:41 AM.csv"
"4 August, 2022",9:00:00 AM,4:00:00 PM,90,Library Carpentry Curriculum Discussion,Breakout Session,Room2,TRUE,TRUE,"Room2-Aug 04, 2022 8:45 AM.csv"
"4 August, 2022",11:00:00 AM,6:00:00 PM,120,High Performance Workflows with Snakemake,Sprint,Room2,TRUE,TRUE,"Room2-Aug 04, 2022 10:44 AM.csv"
"4 August, 2022",3:00:00 PM,10:00:00 PM,90,Disability Inclusion: Building a Culture of Support,Skill Up,Room2,TRUE,TRUE,"Room2-Aug 04, 2022 2:49 PM.csv"
"5 August, 2022",5:00:00 PM,12:00:00 AM,90,"The Carpentries Toolkit of IDEAS (Inclusion, Diversity, Equity, and Accessibility Strategies)",Breakout Session,Room2,TRUE,TRUE,"Room2-Aug 04, 2022 4:46 PM.csv"
"5 August, 2022",12:00:00 AM,7:00:00 AM,60,Organising a workshop,Lightning Presentations,Room2,TRUE,TRUE,"Room2-Aug 04, 2022 11:45 PM.csv"
"5 August, 2022",3:00:00 AM,10:00:00 AM,60,KickAbs,Informal Meetup,Room2,TRUE,TRUE,"Room2-Aug 05, 2022 2:30 AM.csv"
"5 August, 2022",5:00:00 AM,12:00:00 PM,90,Machine Learning Lesson Development Coordination,Breakout Session,Room2,TRUE,TRUE,"Room2-Aug 05, 2022 4:31 AM.csv"
"5 August, 2022",7:00:00 AM,2:00:00 PM,60,Teaching tips and tricks,Lightning Presentations,Room2,TRUE,TRUE,"Room2-Aug 05, 2022 6:34 AM.csv"
"5 August, 2022",9:00:00 AM,4:00:00 PM,60,Organising a workshop,Lightning Presentations,Room2,TRUE,TRUE,"Room2-Aug 05, 2022 8:48 AM.csv"
"7 August, 2022",4:00:00 PM,11:00:00 PM,60,Community and more,Lightning Presentations,Room2,TRUE,TRUE,"Room2-Aug 07, 2022 3:36 PM.csv"
"8 August, 2022",5:30:00 PM,12:30:00 AM,60,"Meet, Greet, and Draw",Informal Meetup,Room2,TRUE,TRUE,"Room2-Aug 07, 2022 5:15 PM.csv"
"8 August, 2022",12:00:00 AM,7:00:00 AM,90,"The Carpentries Regional Subcommunities: Activities, Challenges, and Opportunities (Europe/Africa)",Regional,Room2,TRUE,TRUE,"Room2-Aug 07, 2022 11:35 PM.csv"
"8 August, 2022",2:00:00 AM,9:00:00 AM,90,Community and more,Lightning Presentations,Room2,TRUE,TRUE,"Room2-Aug 08, 2022 1:34 AM.csv"
"8 August, 2022",7:00:00 AM,2:00:00 PM,50,"Radical Self-Care: Creating ""joy lists"" to connect with the good in our lives",Keynote,Room2,TRUE,TRUE,"Room2-Aug 08, 2022 6:25 AM.csv"
"8 August, 2022",8:00:00 AM,3:00:00 PM,90,Disability Inclusion: Building a Culture of Support* (this session will be repeated),Skill Up,Room2,TRUE,TRUE,"Room2-Aug 08, 2022 7:48 AM.csv"
"8 August, 2022",10:00:00 AM,5:00:00 PM,90,Strategies for teaching in times of crises,Breakout Session,Room2,TRUE,TRUE,"Room2-Aug 08, 2022 9:47 AM.csv"
"8 August, 2022",4:00:00 PM,11:00:00 PM,120,What's all the GitHubub about? Contributing to Lessons directly on GitHub,Skill Up,Room2,TRUE,TRUE,"Room2-Aug 08, 2022 3:43 PM.csv and Room2-Aug 08, 2022 4:03 PM.csv"
"9 August, 2022",1:30:00 AM,8:30:00 AM,60,Community and more,Lightning Presentations,Room2,TRUE,TRUE,"Room2-Aug 09, 2022 1:20 AM.csv"
"9 August, 2022",7:00:00 AM,2:00:00 PM,90,"The Carpentries Toolkit of IDEAS (Inclusion, Diversity, Equity, and Accessibility Strategies)",Breakout Session,Room2,TRUE,TRUE,"Room2-Aug 09, 2022 6:28 AM.csv"
"9 August, 2022",9:30:00 AM,4:30:00 PM,60,"Building a Carpentries Community: Connecting, Collaborating, and Charting a Course for Growth in the Research Community",Informal Meetup,Room2,TRUE,TRUE,"Room2-Aug 09, 2022 9:18 AM.csv"
"9 August, 2022",10:30:00 AM,5:30:00 PM,120,High Performance Workflows with Snakemake,Sprint,Room2,TRUE,TRUE,"Room2-Aug 09, 2022 9:18 AM.csv"
"9 August, 2022",4:15:00 PM,11:15:00 PM,60,"Meet, Greet, and Draw",Informal Meetup,Room2,TRUE,TRUE,"Room2-Aug 09, 2022 4:04 PM.csv"
