slug,tag_name,start_date,attendance,host_name,country,latitude,longitude,url
2013-01-12-waterloo,SWC,2013-01-12,24,University of Waterloo,CA,43.4691285,-80.5398649,https://swcarpentry.github.io/2013-01-12-waterloo/
2013-01-21-ubc,SWC,2013-01-21,24,University of British Columbia,CA,49.260605,-123.245994,http://cannot.find.url/2013-01-21-ubc/
2013-01-22-tum,SWC,2013-01-22,25,Technical University Munich,DE,48.264934,11.669121,https://swcarpentry.github.io/2013-01-22-tum/
2013-01-24-camh,SWC,2013-01-24,28,Centre for Addiction and Mental Health,CA,43.6471184,-79.3942998,https://swcarpentry.github.io/2013-01-24-camh/
2013-01-25-tuebingen,SWC,2013-01-25,40,Max Planck Institute Tuebingen,DE,48.5369804,9.058935,https://swcarpentry.github.io/2013-01-25-tuebingen/
2013-01-30-columbia,SWC,2013-01-30,133,Columbia University,US,40.8080777,-73.9635678,https://swcarpentry.github.io/2013-01-30-columbia/
2013-01-31-vt,SWC,2013-01-31,35,Virginia Tech,US,37.2283843,-80.4234167,https://swcarpentry.github.io/2013-01-31-vt/
2013-02-05-ubc,SWC,2013-02-05,30,University of British Columbia,CA,49.2617149,-123.2534305,https://swcarpentry.github.io/2013-02-05-ubc/
2013-02-06-qmul,SWC,2013-02-06,27,Queen Mary University London,GB,51.524067,-0.040374,http://cannot.find.url/2013-02-06-qmul/
2013-02-07-macquarie,SWC,2013-02-07,38,Macquarie University,AU,-33.773636,151.112005,https://swcarpentry.github.io/2013-02-07-macquarie/
2013-02-14-amos,SWC,2013-02-14,68,AMOS Conference (Melbourne),AU,-37.8253285,144.9516212,https://swcarpentry.github.io/2013-02-14-amos/
2013-02-25-uwash,SWC,2013-02-25,92,University of Washington,US,47.655965,-122.309377,https://swcarpentry.github.io/2013-02-25-uwash/
2013-03-04-lbl,SWC,2013-03-04,60,Lawrence Berkeley National Laboratory,US,37.8759281,-122.2500418,https://swcarpentry.github.io/2013-03-04-lbl/
2013-03-07-virginia,SWC,2013-03-07,34,University of Virginia,US,38.031441,-78.499356,https://swcarpentry.github.io/2013-03-07-virginia/
2013-03-12-ttt-online,"TTT,online",2013-03-12,27,Software Carpentry,W3,-48.876667,-123.393333,
2013-03-20-aub,SWC,2013-03-20,25,American University in Beirut,LB,33.900058,35.482727,https://swcarpentry.github.io/2013-03-20-aub/
2013-03-23-utahstate,SWC,2013-03-23,36,Utah State University,US,41.7449488,-111.8042944,https://swcarpentry.github.io/2013-03-23-utahstate/
