slug,tag_name,start_date,attendance,host_name,country,latitude,longitude
2017-05-15-GFZ,SWC,2017-05-15,25,GFZ Potsdam,DE,52.3798284,13.0641701
2017-05-15-UNIVENDA,DC,2017-05-15,22,University of Venda,ZA,22.9761,30.4465
2017-05-15-okstate,SWC,2017-05-15,25,Oklahoma State University,US,36.123056,-97.069722
2017-05-15-ualberta,SWC,2017-05-15,25,University of Alberta,CA,53.527609,-113.522002
2017-05-17-GFZ,SWC,2017-05-17,22,GFZ Potsdam,DE,52.3798284,13.0641701
2017-05-17-JLAB,SWC,2017-05-17,36,Open Science Grid,US,37.097272,-76.486906
2017-05-17-qbi,SWC,2017-05-17,17,University of Queensland,AU,-27.499542,153.011805
2017-05-18-McMaster,SWC,2017-05-18,27,McMaster University,CA,43.259659,-79.917486
2017-05-18-R-Macquarie,SWC,2017-05-18,18,Macquarie University,AU,-33.774238,151.118633
2017-05-18-WVU,SWC,2017-05-18,26,West Virginia University,US,39.633156,-79.954276
2017-05-18-arkansas,SWC,2017-05-18,27,University of Arkansas,US,36.042575,-94.169139
2017-05-18-northeastern,DC,2017-05-18,40,Northeastern University,US,42.418577,-70.906186
2017-05-18-sac-water-science-r-workshop,SWC,2017-05-18,26,State Water Agencies,US,38.5743589,-121.4989617
2017-05-18-standrews,SWC,2017-05-18,13,University of St. Andrews,GB,56.34124,-2.809338
2017-05-18-stanford-TTT,TTT,2017-05-18,13,Stanford University,US,37.432051,-122.170498
2017-05-20-ucsf-R,SWC,2017-05-20,37,University of California San Francisco,US,37.767417,-122.390322
2017-05-20-ucsf-python,SWC,2017-05-20,33,University of California San Francisco,US,37.767417,-122.390322
2017-05-22-florida-TTT,TTT,2017-05-22,22,University of Florida,US,29.648248,-82.344031
2017-05-23-ucsd,SWC,2017-05-23,26,University of California San Diego,US,32.88006,-117.234014
2017-05-24-nist,SWC,2017-05-24,34,National Institute of Standards and Technology,US,39.135171,-77.215829
2017-05-25-UF,SWC,2017-05-25,21,University of Florida,US,29.648248,-82.344031
2017-05-27-MUN,SWC,2017-05-27,22,Memorial University,CA,47.573124,-52.733152
2017-05-29-GriffithUni-R,SWC,2017-05-29,27,Griffith University,AU,-27.552941,153.052425
2017-05-31-Vaal,DC,2017-05-31,20,North-West University,ZA,-26.725771,27.880881
2017-06-01-Belfast,DC,2017-06-01,26,Queen's University Belfast,GB,54.584069,-5.934326
2017-06-01-stanford,SWC,2017-06-01,22,Stanford University,US,37.43181,-122.175758
2017-06-05-ghana,SWC,2017-06-05,,AfriGEOSS,GH,5.5528,-0.2039
2017-06-06-Curtin,SWC,2017-06-06,,Curtin University,AU,-32.0079693,115.8927419
2017-06-06-ncsa,SWC,2017-06-06,7,University of Illinois at Urbana-Champaign,US,40.114921,-88.224765
2017-06-07-uri,DC,2017-06-07,27,University of Rhode Island,US,41.492985,-71.422119
2017-06-08-langley,SWC,2017-06-08,15,NASA (National Aeronautics and Space Administration),US,37.056614,-76.40446
2017-06-08-minnesota,DC,2017-06-08,18,University of Minnesota,US,44.97399,-93.237358
2017-06-08-wsu,DC,2017-06-08,17,Washington State University,US,46.7298,-117.1817
2017-06-12-wise,SWC,2017-06-12,9,NASA (National Aeronautics and Space Administration),US,36.929761,-82.633404
2017-06-13-uw,SWC,2017-06-13,39,University of Washington,US,47.653383,-122.311865
2017-06-14-cornell,DC,2017-06-14,29,Cornell University,US,42.448743,-76.47657
2017-06-15-frb_washingtondc,DC,2017-06-15,21,Federal Reserve Board,US,38.896683,-77.040452
2017-06-15-uow,DC,2017-06-15,19,University of Wollongong,AU,-34.40571,150.881288
2017-06-17-stanford,DC,2017-06-17,40,Stanford University,US,37.43181,-122.175758
2017-06-17-stlouis,"DC,unresponsive",2017-06-17,,University of California Davis,US,38.674299,-90.397576
2017-06-19-berlin,SWC,2017-06-19,34,Integrative Research Institute of Life Sciences,DE,52.525729,13.379345
2017-06-19-nasa-rm1,SWC,2017-06-19,38,NASA (National Aeronautics and Space Administration),US,38.992857,-76.853895
2017-06-19-nasa-rm2,SWC,2017-06-19,32,NASA (National Aeronautics and Space Administration),US,38.992857,-76.853895
2017-06-19-sydney-ttt,TTT,2017-06-19,18,Macquarie University,AU,-33.7756838,151.1108993
2017-06-19-tgen,SWC,2017-06-19,52,Translational Genomics Institute,US,33.453011,-112.067032
2017-06-19-ttt-davis,TTT,2017-06-19,18,University of California Davis,US,38.532271,-121.76215
