Slug,Registered,Day1,Day2,Day3,Day4,Day5
2017-09-20-NASADEVELOP-PY,5,5,5
2017-09-14-osucgrb,24,22,22
2017-08-31-ncsa,23,23,23
2017-09-28-nsbe,22,16
2017-08-18-Windhoek,30,15,15
2017-09-18-TechUnivDenm,45,42,42,39
2017-09-21-ucr,20,15,12
2017-09-14-gent-cmet,22,22,19
2017-08-17-umswc-hg,21,19,19
2017-09-28-NIH-CMN,30,30,20
2017-08-26-Tucson,148,71,71
2017-09-18-stanford,40,40,40
2017-08-31-uri,40,37,32
2017-08-01-Potch,19,14,13,13
2017-09-29-DC_USU,25,20,14
2017-09-30-TDWG-Ottawa,21,18,18
2017-09-23-chicago,48,34,26
2017-10-03-riverclub,40,39,37
2017-08-14-delaware,27,24,24
2017-10-02-uw-R,,23,,,
2017-10-02-uw-Py,,26,,,
2017-09-21-uiuc,31,29,25
2017-10-09-aarhus,25,24,24
2017-10-03-LLNL,24,24,18
2017-08-24-losalamos,30,29,20
2017-07-27-PNNL,25,18,18
2017-08-31-uri,40,37,32
2017-08-16-pyconpl,,1,1
2017-03-23-Mafikeng,,28,34
2017-10-03-NDIC,,14,14
2017-08-17-oklahoma,18,13,11
2017-10-16-upenn-ibi,45,26,26
2017-10-16-karolinska,14,12,12
2017-10-16-ucla,24,16,10
2017-10-16-umswc,,18,18
2017-10-17-BU,18,17,17
2017-10-19-uic,22,21,21
2017-10-24-ARC-16S,23,23,23,23
2017-10-17-heidelberg,25,25,25,25,25
2017-10-27-RUCamden,17,13,14
2017-10-25-ift,23,21,21,18
2017-10-23-ufs,25,21,19
2017-11-02-nist,17,15,16
2017-10-30-icahn,36,27,26
2017-10-30-Ethiopia,38,38,25
2017-10-30-iDigBio-Summit-UFII,19,16,16
2017-10-26-merced,34,26,24
2017-11-06-lugano,,21,,
2017-11-11-UTA,27,20,12
2017-10-19-UniversityBotswana,57,51,22
2017-11-01-NWU-Mafikeng,32,31,30,24
2017-10-16-UNO,17,9,8
2017-11-09-sfn,38,28,26
2017-10-30-harvard,24,21,21
2017-11-07-mizzou,24,18,15
2017-11-03-gwu-R,40,20,15
2017-11-06-SUN-DC,37,31,24,31
2017-09-12-isu,,15,12
2017-11-08-lugano,9,9,9,9
2017-12-05-rutgers,34,,
2017-11-17-tufts,15,16,14
2017-10-27-Moorhead,15,13,13
2017-12-02-UCSF-R,45,8,34
2017-12-02-UCSF-Python,34,26,24
2017-11-30-NWU-IT,18,16,16
2017-11-30-MBARI,44,44,44
2017-11-20-ou, 40,24,20
2017-05-20-ucsf-python,42,36,33
2017-05-20-ucsf-R,38,36,32
2017-12-18-knoxville,35,31,31
