Occupation,Country,Expertise areas,Previous Involvement,Previous Training in Teaching,Previous Experience in Teaching
grad,US,"Chemistry, Education, Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)","instructor, contributor",Unknown,Unknown
research,GB,Physics,Unknown,Unknown,Unknown
support,DE,Mathematics/statistics,helper,Unknown,Unknown
Unknown,CA,"Education, Mathematics/statistics",Unknown,Unknown,Unknown
grad,US,"Economics/business, Mathematics/statistics",helper,Unknown,Unknown
faculty,US,Physics,Unknown,A certification or short course,Unknown
grad,IE,"Genetics, genomics, bioinformatics",Unknown,A certification or short course,Unknown
faculty,US,"High performance computing, Physics",Unknown,A certification or short course,Unknown
research,ES,Mathematics/statistics,Unknown,A certification or short course,Unknown
grad,US,"Genetics, genomics, bioinformatics, Mathematics/statistics",learner,A certification or short course,Unknown
postdoc,FR,Social sciences,learner,A certification or short course,Unknown
grad,Unknown,GB,Unknown,A certification or short course,Unknown
Unknown,US,Chemistry,learner,A certification or short course,Unknown
research,US,"Genetics, genomics, bioinformatics, High performance computing, Library and information science, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,A certification or short course,Unknown
postdoc,CA,Physics,helper,A certification or short course,A few hours
support,US,"Computer science/electrical engineering, Education, High performance computing, Mathematics/statistics, Physics, Planetary sciences (geology, climatology, oceanography, etc.), Space sciences",helper,A certification or short course,A few hours
postdoc,US,"Education, High performance computing, Physics",learner,A certification or short course,A few hours
faculty,US,Computer science/electrical engineering,helper,A certification or short course,A few hours
Unknown,US,Computer science/electrical engineering,Unknown,A certification or short course,A few hours
undergrad,US,"Civil, mechanical, chemical, or nuclear engineering, Mathematics/statistics, Social sciences","learner, contributor",A certification or short course,A few hours
research,NL,"Mathematics/statistics, Psychology/neuroscience",Unknown,A certification or short course,A few hours
grad,US,"Organismal biology (ecology, botany, zoology, microbiology)","helper, learner",A certification or short course,A few hours
Unknown,CA,"Computer science/electrical engineering, Genetics, genomics, bioinformatics",Unknown,A certification or short course,A few hours
support,CA,"Economics/business, Education",helper,A certification or short course,A few hours
research,US,"High performance computing, Physics, Space sciences",helper,A certification or short course,A few hours
research,US,"Computer science/electrical engineering, Economics/business, Library and information science, Mathematics/statistics, Social sciences",helper,A certification or short course,A few hours
research,US,"Computer science/electrical engineering, Education",instructor,A certification or short course,A few hours
support,US,Humanities,Unknown,A certification or short course,A few hours
librarian,US,"Education, Humanities, Library and information science","helper, instructor, host, organizer",A certification or short course,A few hours
research,CA,"Genetics, genomics, bioinformatics","helper, learner",A certification or short course,A few hours
research,GB,Physics,learner,A certification or short course,A few hours
grad,US,"Organismal biology (ecology, botany, zoology, microbiology)",learner,A certification or short course,A few hours
grad,US,"Civil, mechanical, chemical, or nuclear engineering, High performance computing",helper,A certification or short course,A few hours
faculty,BR,"Planetary sciences (geology, climatology, oceanography, etc.)",Unknown,A certification or short course,A few hours
support,US,"Economics/business, Social sciences",Unknown,A certification or short course,A few hours
research,AU,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,A certification or short course,A few hours
grad,US,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, Mathematics/statistics, Medicine, Organismal biology (ecology, botany, zoology, microbiology)",learner,A certification or short course,A few hours
grad,AU,"Chemistry, Mathematics/statistics, Social sciences",Unknown,A certification or short course,A few hours
research,US,"Computer science/electrical engineering, Mathematics/statistics, Physics, Planetary sciences (geology, climatology, oceanography, etc.)",Unknown,A certification or short course,A few hours
grad,US,"Civil, mechanical, chemical, or nuclear engineering",learner,A certification or short course,A few hours
postdoc,US,"Genetics, genomics, bioinformatics, Mathematics/statistics",Unknown,A certification or short course,A few hours
grad,CA,"Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)","helper, instructor, host, organizer, contributor",A certification or short course,A few hours
grad,US,Medicine,"helper, learner",A certification or short course,A few hours
Unknown,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology), Planetary sciences (geology, climatology, oceanography, etc.)",helper,A certification or short course,A few hours
grad,US,"Computer science/electrical engineering, High performance computing, Mathematics/statistics","helper, instructor",A certification or short course,A few hours
undisclosed,AU,"Education, Genetics, genomics, bioinformatics, High performance computing, Library and information science, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,A certification or short course,A few hours
Unknown,US,"Humanities, Social sciences",learner,A certification or short course,A few hours
postdoc,BR,"Organismal biology (ecology, botany, zoology, microbiology)","helper, instructor, learner, organizer, contributor",A certification or short course,A few hours
faculty,US,"Computer science/electrical engineering, Education",Unknown,A certification or short course,A few hours
faculty,KR,"Computer science/electrical engineering, Mathematics/statistics, Medicine",learner,A certification or short course,A few hours
research,US,"Genetics, genomics, bioinformatics",host,A certification or short course,A few hours
research,HK,"Computer science/electrical engineering, Genetics, genomics, bioinformatics",learner,A certification or short course,A few hours
postdoc,US,"Organismal biology (ecology, botany, zoology, microbiology)",learner,A certification or short course,A few hours
faculty,ET,"Computer science/electrical engineering, Library and information science",Unknown,A certification or short course,A few hours
grad,DE,"Economics/business, Mathematics/statistics",Unknown,A certification or short course,A few hours
support,ES,"Computer science/electrical engineering, High performance computing",learner,A certification or short course,A few hours
research,SG,"Genetics, genomics, bioinformatics, Mathematics/statistics",Unknown,A certification or short course,A few hours
faculty,US,"Chemistry, Physics",Unknown,A certification or short course,A few hours
Unknown,DE,"Computer science/electrical engineering, Genetics, genomics, bioinformatics",Unknown,A certification or short course,A few hours
research,CA,"Genetics, genomics, bioinformatics, Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,A certification or short course,A few hours
postdoc,US,"Humanities, Organismal biology (ecology, botany, zoology, microbiology)","learner, contributor",A certification or short course,A few hours
postdoc,US,"Chemistry, Organismal biology (ecology, botany, zoology, microbiology)",learner,A certification or short course,A few hours
postdoc,US,"Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)","helper, instructor",A certification or short course,A few hours
faculty,US,"Education, Mathematics/statistics, Social sciences",Unknown,A certification or short course,A few hours
support,US,"Genetics, genomics, bioinformatics, Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)",helper,A certification or short course,A few hours
grad,US,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,A certification or short course,A few hours
librarian,US,"Library and information science, Organismal biology (ecology, botany, zoology, microbiology), Planetary sciences (geology, climatology, oceanography, etc.)",learner,A certification or short course,A few hours
undisclosed,US,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, Psychology/neuroscience",learner,A certification or short course,A few hours
postdoc,US,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, Mathematics/statistics",Unknown,A certification or short course,A few hours
support,US,"Civil, mechanical, chemical, or nuclear engineering, Computer science/electrical engineering, Education, Humanities",helper,A certification or short course,A few hours
Unknown,BR,"Organismal biology (ecology, botany, zoology, microbiology), Planetary sciences (geology, climatology, oceanography, etc.)",Unknown,A certification or short course,A few hours
postdoc,US,"Genetics, genomics, bioinformatics, Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)",learner,A certification or short course,A few hours
postdoc,US,"Genetics, genomics, bioinformatics, Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)",learner,A certification or short course,A few hours
Unknown,US,Economics/business,"helper, learner",A certification or short course,A few hours
grad,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,A certification or short course,A few hours
Unknown,US,"Computer science/electrical engineering, Library and information science","helper, instructor",A certification or short course,A few hours
grad,AU,"Computer science/electrical engineering, Mathematics/statistics",learner,A certification or short course,A few hours
grad,US,"Genetics, genomics, bioinformatics, Mathematics/statistics",Unknown,A certification or short course,A few hours
support,US,"Genetics, genomics, bioinformatics","helper, learner, contributor",A certification or short course,A few hours
Unknown,BR,"Computer science/electrical engineering, Mathematics/statistics",Unknown,A certification or short course,A few hours
grad,AU,Psychology/neuroscience,Unknown,A certification or short course,A few hours
grad,AU,Chemistry,Unknown,A certification or short course,A few hours
grad,AU,"Genetics, genomics, bioinformatics","helper, learner",A certification or short course,A few hours
postdoc,AU,"Computer science/electrical engineering, High performance computing, Social sciences",Unknown,A certification or short course,A few hours
grad,AU,"Computer science/electrical engineering, Education, Genetics, genomics, bioinformatics","helper, instructor, learner",A certification or short course,A few hours
postdoc,GB,Unknown,Unknown,A certification or short course,A few hours
grad,US,"Organismal biology (ecology, botany, zoology, microbiology)",learner,A certification or short course,A few hours
postdoc,DE,"High performance computing, Mathematics/statistics, Physics, Planetary sciences (geology, climatology, oceanography, etc.)",learner,A certification or short course,A few hours
research,CA,"Computer science/electrical engineering, High performance computing, Physics",Unknown,A certification or short course,A few hours
research,CA,"Genetics, genomics, bioinformatics",Unknown,A certification or short course,A few hours
grad,CA,Physics,Unknown,A certification or short course,A few hours
research,US,"Chemistry, Genetics, genomics, bioinformatics, Mathematics/statistics, Medicine",Unknown,A certification or short course,A few hours
support,US,"Humanities, Library and information science",learner,A certification or short course,A few hours
faculty,US,"Planetary sciences (geology, climatology, oceanography, etc.)",learner,A certification or short course,A few hours
librarian,US,"Humanities, Library and information science",helper,A certification or short course,A few hours
faculty,US,"Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,A certification or short course,A few hours
postdoc,IT,"Chemistry, Computer science/electrical engineering, Genetics, genomics, bioinformatics, High performance computing, Mathematics/statistics, Medicine, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,A certification or short course,A few hours
grad,IN,"Civil, mechanical, chemical, or nuclear engineering, High performance computing",Unknown,A certification or short course,A few hours
grad,US,"Organismal biology (ecology, botany, zoology, microbiology)",Unknown,A certification or short course,A few hours
support,AU,"High performance computing, Organismal biology (ecology, botany, zoology, microbiology)",helper,A certification or short course,A few hours
postdoc,US,"Physics, Space sciences","helper, host",A certification or short course,A few hours
postdoc,US,"Chemistry, Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology), Planetary sciences (geology, climatology, oceanography, etc.)",learner,A certification or short course,A few hours
research,AU,"Genetics, genomics, bioinformatics, Mathematics/statistics","helper, learner",A certification or short course,A few hours
faculty,AU,Library and information science,Unknown,A certification or short course,A few hours
support,AU,Social sciences,organizer,A certification or short course,A few hours
grad,US,Computer science/electrical engineering,Unknown,A certification or short course,A few hours
postdoc,US,"Genetics, genomics, bioinformatics","helper, host, organizer",A certification or short course,A few hours
support,ZA,Unknown,organizer,A certification or short course,A few hours
postdoc,ZA,"Mathematics/statistics, Physics",learner,A certification or short course,A few hours
grad,AU,Computer science/electrical engineering,learner,A certification or short course,A few hours
postdoc,CA,"Organismal biology (ecology, botany, zoology, microbiology)",learner,A certification or short course,A few hours
support,ZA,"Chemistry, Computer science/electrical engineering, Education, High performance computing",learner,A certification or short course,A few hours
postdoc,AU,"Genetics, genomics, bioinformatics, High performance computing",helper,A certification or short course,A few hours
librarian,US,Library and information science,learner,A certification or short course,A few hours
research,US,"Economics/business, Social sciences",Unknown,A certification or short course,A few hours
faculty,CA,"Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,A certification or short course,A few hours
librarian,US,Library and information science,"helper, learner",A certification or short course,A few hours
Unknown,US,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, High performance computing, Mathematics/statistics",Unknown,A certification or short course,A few hours
grad,AU,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, Mathematics/statistics","helper, instructor",A certification or short course,A few hours
support,AU,Computer science/electrical engineering,learner,A certification or short course,A few hours
faculty,AU,"Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology), Planetary sciences (geology, climatology, oceanography, etc.)",helper,A certification or short course,A few hours
grad,US,"Mathematics/statistics, Social sciences",learner,A certification or short course,A few hours
Unknown,US,"Computer science/electrical engineering, Library and information science",Unknown,A certification or short course,A few hours
research,US,Computer science/electrical engineering,helper,A certification or short course,A few hours
faculty,US,Social sciences,Unknown,A certification or short course,A few hours
research,BR,"Genetics, genomics, bioinformatics",learner,A certification or short course,A few hours
research,US,"Computer science/electrical engineering, Social sciences",Unknown,A certification or short course,A few hours
commerce,US,"Computer science/electrical engineering, Education, Humanities, Mathematics/statistics",Unknown,A certification or short course,A few hours
grad,US,"Chemistry, Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology), Planetary sciences (geology, climatology, oceanography, etc.)",learner,A certification or short course,A few hours
postdoc,ZA,Mathematics/statistics,learner,A certification or short course,A few hours
research,US,"Computer science/electrical engineering, Planetary sciences (geology, climatology, oceanography, etc.)",Unknown,A certification or short course,A few hours
grad,AU,"Mathematics/statistics, Psychology/neuroscience, Social sciences",Unknown,A certification or short course,A few hours
support,ZA,"Computer science/electrical engineering, Mathematics/statistics",Unknown,A certification or short course,A few hours
faculty,US,"Genetics, genomics, bioinformatics, High performance computing",Unknown,A certification or short course,A few hours
grad,US,"High performance computing, Planetary sciences (geology, climatology, oceanography, etc.)",Unknown,A certification or short course,A few hours
faculty,US,Economics/business,learner,A certification or short course,A few hours
grad,US,"Computer science/electrical engineering, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,A certification or short course,A few hours
faculty,EG,"Genetics, genomics, bioinformatics",learner,A certification or short course,A few hours
research,GB,"Physics, Planetary sciences (geology, climatology, oceanography, etc.), Space sciences",learner,A certification or short course,A few hours
postdoc,AU,"Humanities, Social sciences",Unknown,A certification or short course,A few hours
support,US,Physics,Unknown,A certification or short course,A few hours
research,NG,Social sciences,Unknown,A certification or short course,A few hours
librarian,US,Library and information science,organizer,A certification or short course,A few hours
faculty,US,"Chemistry, Civil, mechanical, chemical, or nuclear engineering, Computer science/electrical engineering, High performance computing, Mathematics/statistics, Physics","learner, contributor",A certification or short course,A few hours
research,US,"Organismal biology (ecology, botany, zoology, microbiology)",Unknown,A certification or short course,A few hours
grad,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,A certification or short course,A few hours
research,US,"Computer science/electrical engineering, Genetics, genomics, bioinformatics",Unknown,A certification or short course,A few hours
librarian,CA,"Humanities, Library and information science","learner, organizer",A certification or short course,A few hours
librarian,CH,Library and information science,helper,A certification or short course,A few hours
faculty,AU,"Computer science/electrical engineering, Education",helper,A certification or short course,A few hours
research,IL,"Chemistry, Mathematics/statistics, Medicine",Unknown,A certification or short course,A few hours
grad,FR,"Organismal biology (ecology, botany, zoology, microbiology)",Unknown,A certification or short course,A few hours
research,GB,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, High performance computing, Mathematics/statistics, Psychology/neuroscience","helper, learner",A certification or short course,A few hours
research,GB,"Chemistry, Genetics, genomics, bioinformatics",Unknown,A certification or short course,A few hours
research,US,"Genetics, genomics, bioinformatics",learner,A certification or short course,A few hours
faculty,US,Social sciences,Unknown,A certification or short course,A few hours
support,GB,"Education, Genetics, genomics, bioinformatics, High performance computing, Mathematics/statistics, Physics",Unknown,A certification or short course,A few hours
Unknown,AU,"Genetics, genomics, bioinformatics",learner,A certification or short course,A few hours
grad,US,"Genetics, genomics, bioinformatics",helper,A certification or short course,A few hours
faculty,US,Unknown,Unknown,A certification or short course,A few hours
postdoc,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",learner,A certification or short course,A few hours
faculty,GB,Social sciences,Unknown,A certification or short course,A few hours
postdoc,US,"Genetics, genomics, bioinformatics, High performance computing, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,A certification or short course,A few hours
research,US,"Genetics, genomics, bioinformatics",Unknown,A certification or short course,A few hours
research,US,"High performance computing, Mathematics/statistics, Physics",Unknown,A certification or short course,A few hours
postdoc,GB,Mathematics/statistics,Unknown,A certification or short course,A few hours
librarian,CN,"Library and information science, Social sciences",Unknown,A certification or short course,A few hours
postdoc,CA,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)","helper, learner",A certification or short course,A few hours
grad,US,"Genetics, genomics, bioinformatics, Mathematics/statistics",Unknown,A certification or short course,A few hours
research,US,"Planetary sciences (geology, climatology, oceanography, etc.)",Unknown,A certification or short course,A few hours
grad,US,Unknown,instructor,A certification or short course,A few hours
commerce,ZA,"Computer science/electrical engineering, Education, Mathematics/statistics, Physics",Unknown,A certification or short course,A few hours
grad,US,"Organismal biology (ecology, botany, zoology, microbiology)","helper, contributor",A certification or short course,A few hours
postdoc,US,"Physics, Planetary sciences (geology, climatology, oceanography, etc.)","helper, host, organizer",A certification or short course,A few hours
librarian,US,"Mathematics/statistics, Planetary sciences (geology, climatology, oceanography, etc.), Social sciences",learner,A certification or short course,A few hours
grad,US,Social sciences,learner,A certification or short course,A few hours
grad,AU,"Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology), Planetary sciences (geology, climatology, oceanography, etc.)","helper, instructor, learner, contributor",A certification or short course,A few hours
librarian,ZA,"Library and information science, Social sciences",learner,A certification or short course,A few hours
faculty,US,"Computer science/electrical engineering, Education, Library and information science",helper,A certification or short course,A few hours
grad,US,"Genetics, genomics, bioinformatics",Unknown,A certification or short course,A few hours
grad,US,"Genetics, genomics, bioinformatics, High performance computing, Planetary sciences (geology, climatology, oceanography, etc.)",learner,A certification or short course,A few hours
grad,US,"Mathematics/statistics, Planetary sciences (geology, climatology, oceanography, etc.)","helper, host, organizer",A certification or short course,A few hours
research,BE,"Planetary sciences (geology, climatology, oceanography, etc.)",Unknown,A certification or short course,A few hours
research,US,"Genetics, genomics, bioinformatics",helper,A certification or short course,A few hours
research,US,"Genetics, genomics, bioinformatics, Mathematics/statistics",helper,A certification or short course,A few hours
grad,ZA,Mathematics/statistics,learner,A certification or short course,A few hours
grad,AU,"Civil, mechanical, chemical, or nuclear engineering",learner,A certification or short course,A few hours
grad,US,"Genetics, genomics, bioinformatics","helper, learner",A certification or short course,A few hours
Unknown,ZA,"Computer science/electrical engineering, Education, Mathematics/statistics, Physics, Space sciences",Unknown,A certification or short course,A few hours
postdoc,GB,"Genetics, genomics, bioinformatics","helper, instructor",A certification or short course,A few hours
postdoc,US,"Chemistry, Civil, mechanical, chemical, or nuclear engineering, High performance computing, Physics","helper, contributor",A certification or short course,A few hours
postdoc,US,"Chemistry, High performance computing, Physics",Unknown,A certification or short course,A few hours
Unknown,US,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, High performance computing, Mathematics/statistics",Unknown,A certification or short course,A few hours
research,US,"Genetics, genomics, bioinformatics, Mathematics/statistics, Physics",Unknown,A certification or short course,A few hours
research,US,Computer science/electrical engineering,Unknown,A certification or short course,A few hours
support,NZ,"Computer science/electrical engineering, High performance computing, Mathematics/statistics",helper,A certification or short course,A few hours
faculty,FR,Mathematics/statistics,"helper, organizer",A certification or short course,A few hours
postdoc,DE,"Organismal biology (ecology, botany, zoology, microbiology)",Unknown,A certification or short course,A few hours
undergrad,US,"Civil, mechanical, chemical, or nuclear engineering, Computer science/electrical engineering, Library and information science, Planetary sciences (geology, climatology, oceanography, etc.)","helper, learner",A certification or short course,A few hours
research,US,"Genetics, genomics, bioinformatics",Unknown,A certification or short course,A few hours
Unknown,GB,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,A certification or short course,A few hours
grad,US,"Organismal biology (ecology, botany, zoology, microbiology)",learner,A certification or short course,A few hours
research,US,"Genetics, genomics, bioinformatics, High performance computing, Physics",Unknown,A certification or short course,A few hours
grad,US,"Computer science/electrical engineering, Mathematics/statistics",Unknown,A certification or short course,A few hours
research,GB,"Computer science/electrical engineering, High performance computing, Physics",Unknown,A certification or short course,A few hours
research,FR,"Chemistry, High performance computing, Physics","instructor, learner, organizer",A certification or short course,A few hours
postdoc,FR,"Chemistry, Computer science/electrical engineering, Genetics, genomics, bioinformatics, High performance computing, Medicine",Unknown,A certification or short course,A few hours
grad,CA,"Genetics, genomics, bioinformatics",helper,A certification or short course,A few hours
undisclosed,US,"Education, Humanities, Library and information science",learner,A certification or short course,A few hours
faculty,US,"Organismal biology (ecology, botany, zoology, microbiology), Psychology/neuroscience",Unknown,A certification or short course,A few hours
librarian,AU,Library and information science,learner,A certification or short course,A few hours
support,US,"Computer science/electrical engineering, Humanities, Space sciences",Unknown,A certification or short course,A few hours
grad,US,Social sciences,Unknown,A certification or short course,A few hours
grad,GB,"Organismal biology (ecology, botany, zoology, microbiology)",Unknown,A certification or short course,A few hours
librarian,US,Library and information science,Unknown,A certification or short course,A few hours
grad,ZA,"Computer science/electrical engineering, Economics/business, High performance computing, Mathematics/statistics",Unknown,A certification or short course,A few hours
support,GB,"Computer science/electrical engineering, Education, Mathematics/statistics, Physics","helper, instructor, host, contributor",A certification or short course,A few hours
grad,US,Social sciences,learner,A certification or short course,A few hours
research,US,"Humanities, Library and information science",learner,A certification or short course,A few hours
librarian,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,A certification or short course,A few hours
postdoc,NO,"Chemistry, Physics",Unknown,A certification or short course,A few hours
grad,IT,"Computer science/electrical engineering, High performance computing, Mathematics/statistics, Physics, Space sciences",Unknown,A certification or short course,A few hours
postdoc,US,Psychology/neuroscience,learner,A certification or short course,A few hours
grad,US,"Civil, mechanical, chemical, or nuclear engineering",learner,A certification or short course,A few hours
postdoc,GB,"Computer science/electrical engineering, Genetics, genomics, bioinformatics","helper, contributor",A certification or short course,A few hours
grad,DE,"Genetics, genomics, bioinformatics, High performance computing, Organismal biology (ecology, botany, zoology, microbiology)","helper, learner",A certification or short course,A few hours
grad,US,"Civil, mechanical, chemical, or nuclear engineering",learner,A certification or short course,A few hours
postdoc,US,"Genetics, genomics, bioinformatics, Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)",helper,A certification or short course,A few hours
faculty,US,"Psychology/neuroscience, Social sciences",Unknown,A certification or short course,A few hours
undisclosed,US,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, Mathematics/statistics",Unknown,A certification or short course,A few hours
postdoc,GB,"Organismal biology (ecology, botany, zoology, microbiology)",learner,A certification or short course,A few hours
faculty,GB,Mathematics/statistics,learner,A certification or short course,A few hours
grad,CA,"Genetics, genomics, bioinformatics, Psychology/neuroscience","helper, learner",A certification or short course,A few hours
Unknown,ES,"Computer science/electrical engineering, Education, Mathematics/statistics, Physics, Space sciences",learner,A certification or short course,A few hours
librarian,CA,Library and information science,"helper, instructor, host, learner, organizer, contributor",A certification or short course,A few hours
librarian,CA,"Humanities, Library and information science","helper, learner",A certification or short course,A few hours
librarian,CA,"Library and information science, Social sciences",instructor,A certification or short course,A few hours
research,US,"Computer science/electrical engineering, Library and information science, Mathematics/statistics",learner,A certification or short course,A few hours
Unknown,US,"Education, Humanities",learner,A certification or short course,A few hours
postdoc,GB,"Computer science/electrical engineering, Psychology/neuroscience",helper,A certification or short course,A few hours
grad,CA,"Planetary sciences (geology, climatology, oceanography, etc.)","helper, instructor, learner, contributor",A certification or short course,A few hours
faculty,IN,"Computer science/electrical engineering, High performance computing",Unknown,A certification or short course,A few hours
grad,US,"Economics/business, Education, Mathematics/statistics, Social sciences",Unknown,A certification or short course,A few hours
faculty,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)","helper, host, learner",A certification or short course,A few hours
research,US,"Chemistry, Civil, mechanical, chemical, or nuclear engineering",Unknown,A certification or short course,A few hours
Unknown,US,Computer science/electrical engineering,helper,A certification or short course,A few hours
grad,US,"Civil, mechanical, chemical, or nuclear engineering, High performance computing",helper,A certification or short course,A few hours
postdoc,US,Unknown,Unknown,A certification or short course,A few hours
support,AU,"Organismal biology (ecology, botany, zoology, microbiology)",learner,A certification or short course,A few hours
postdoc,GB,"Civil, mechanical, chemical, or nuclear engineering, Computer science/electrical engineering, High performance computing",learner,A certification or short course,A few hours
research,US,"Organismal biology (ecology, botany, zoology, microbiology)",learner,A certification or short course,A few hours
research,GB,"Civil, mechanical, chemical, or nuclear engineering, Computer science/electrical engineering, High performance computing",helper,A certification or short course,A few hours
grad,US,"Genetics, genomics, bioinformatics, Mathematics/statistics",learner,A certification or short course,A few hours
support,BE,"Computer science/electrical engineering, High performance computing, Physics",Unknown,A certification or short course,A few hours
Unknown,US,"Education, Genetics, genomics, bioinformatics",learner,A certification or short course,A few hours
Unknown,CH,"Genetics, genomics, bioinformatics, Mathematics/statistics","helper, learner",A certification or short course,A few hours
Unknown,BR,Unknown,learner,A certification or short course,A few hours
librarian,CA,Library and information science,"helper, organizer",A certification or short course,A few hours
Unknown,University of Maryland iSchool,US,Unknown,A certification or short course,A few hours
research,GB,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, High performance computing, Medicine, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,A certification or short course,A few hours
Unknown,UG,Computer science/electrical engineering,Unknown,A certification or short course,A few hours
grad,US,Social sciences,Unknown,A certification or short course,A few hours
research,US,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, Mathematics/statistics",Unknown,A certification or short course,A few hours
postdoc,US,"Organismal biology (ecology, botany, zoology, microbiology)",Unknown,A certification or short course,A few hours
grad,US,"Genetics, genomics, bioinformatics, Mathematics/statistics",Unknown,A certification or short course,A few hours
faculty,IE,"Planetary sciences (geology, climatology, oceanography, etc.)",Unknown,A certification or short course,A few hours
postdoc,US,"Genetics, genomics, bioinformatics, Mathematics/statistics",learner,A certification or short course,A few hours
commerce,US,"Chemistry, Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,A certification or short course,A few hours
faculty,US,"Computer science/electrical engineering, Mathematics/statistics",Unknown,A certification or short course,A few hours
commerce,US,Computer science/electrical engineering,Unknown,A certification or short course,A few hours
support,AU,"High performance computing, Planetary sciences (geology, climatology, oceanography, etc.)",learner,A certification or short course,A few hours
Unknown,DE,"Genetics, genomics, bioinformatics, Library and information science, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,A certification or short course,A few hours
faculty,US,"High performance computing, Mathematics/statistics, Social sciences",Unknown,A certification or short course,A few hours
research,CA,"Organismal biology (ecology, botany, zoology, microbiology)",learner,A certification or short course,A few hours
grad,CA,"Mathematics/statistics, Medicine","helper, host, learner, organizer",A certification or short course,A few hours
support,GB,"Genetics, genomics, bioinformatics",Unknown,A certification or short course,A few hours
commerce,CA,Psychology/neuroscience,Unknown,A certification or short course,A few hours
faculty,US,Mathematics/statistics,Unknown,A certification or short course,A few hours
research,US,Unknown,Unknown,A certification or short course,A few hours
grad,US,"Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,A certification or short course,A few hours
faculty,US,"Computer science/electrical engineering, Economics/business",learner,A certification or short course,A few hours
support,US,"Computer science/electrical engineering, Education, High performance computing",Unknown,A certification or short course,A few hours
grad,AU,"Genetics, genomics, bioinformatics","helper, learner",A certification or short course,A few hours
postdoc,AU,"Planetary sciences (geology, climatology, oceanography, etc.)","helper, learner",A certification or short course,A few hours
grad,US,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, Psychology/neuroscience",helper,A certification or short course,A few hours
faculty,US,"Genetics, genomics, bioinformatics",learner,A certification or short course,A few hours
Unknown,AU,"Physics, Space sciences","helper, instructor",A certification or short course,A few hours
postdoc,US,Computer science/electrical engineering,Unknown,A certification or short course,A few hours
postdoc,AU,"Computer science/electrical engineering, Education",Unknown,A certification or short course,A few hours
postdoc,AU,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)","helper, instructor, learner",A certification or short course,A few hours
Unknown,US,"Civil, mechanical, chemical, or nuclear engineering",Unknown,A certification or short course,A few hours
postdoc,AU,"Genetics, genomics, bioinformatics","helper, instructor, learner",A certification or short course,A few hours
faculty,US,Computer science/electrical engineering,Unknown,A certification or short course,A few hours
