slug,start,country,attendance,tags,count_badged
2017-08-14-UCB-ttt,2017-08-14,US,11,5,7
2017-08-16-ttt-online,2017-08-16,W3,21,"5,6",10
2017-09-04-ttt-manchester,2017-09-04,GB,22,5,15
2017-09-21-ttt-online,2017-09-21,W3,26,"5,6",10
2017-09-25-TTT-online,2017-09-25,W3,17,"5,6",8
2017-09-28-curtin,2017-09-28,AU,16,5,6
2017-10-09-NWU-eResearch-ttt,2017-10-09,ZA,34,5,8
2017-10-10-ttt-doe,2017-10-10,W3,24,"5,6",6
2017-10-16-Monsanto-ttt,2017-10-16,US,7,5,6
2017-10-19-ucsf-ttt,2017-10-19,W3,5,"5,6",3
2017-10-24-ttt-online,2017-10-24,W3,19,"5,6",12
2017-10-24-ttt-online-USA,2017-10-24,W3,23,"5,6",10
2017-10-27-ttt-UND,2017-10-27,US,5,5,1
2017-10-30-TTT-online,2017-10-30,W3,12,"5,6",8
2017-10-30-imperial-ttt,2017-10-30,GB,21,5,14
2017-11-02-TTT-online,2017-11-02,W3,25,"5,6",13
2017-11-06-ttt-Utrecht,2017-11-07,NL,16,5,7
2017-11-14-ttt-online,2017-11-14,W3,12,"5,6",9
2017-11-15-ttt-stanford,2017-11-15,US,15,5,8
2017-12-04-ttt,2017-12-04,W3,8,"5,6",4
2017-12-05-ttt-southampton,2017-12-05,GB,18,5,9
2017-12-12-ttt-online,2017-12-12,W3,17,"5,6",14
2017-12-14-ttt-uiuc,2017-12-14,US,10,5,4
2018-01-30-ttt-USA,2018-01-30,W3,19,"5,6",17
2018-01-30-ttt-online-UK,2018-01-30,W3,14,"5,6",9
2018-02-05-ttt-online,2018-02-05,W3,24,"5,6",14
2018-02-13-ttt-online,2018-02-13,W3,15,"5,6",10
2018-02-21-South-Africa-ttt,2018-02-21,ZA,17,5,11
2018-02-21-ttt-online,2018-02-21,W3,6,"5,6",5
2018-02-26-ttt-csiro,2018-02-26,AU,4,5,3
2018-02-26-ttt-stanford,2018-02-26,US,12,5,6
2018-02-28-ttt-online,2018-02-28,W3,16,"5,6",7
2018-03-01-ttt-online,2018-03-01,W3,18,"5,6",7
2018-03-05-ttt-florida,2018-03-05,US,20,5,11
2018-03-12-ttt-online,2018-03-12,W3,19,"5,6",9
2018-03-13-ttt-Amsterdam,2018-03-13,NL,9,5,4
2018-03-19-ttt-sfu,2018-03-19,CA,10,5,4
2018-03-20-ttt-online,2018-03-20,W3,11,"5,6",9
2018-03-22-ttt-westbigdatahub,2018-03-22,US,19,5,6
2018-03-26-ttt-davis,2018-03-26,US,24,5,10
2018-04-02-ttt-online,2018-04-02,W3,24,"5,6",16
2018-04-09-ttt-qcif,2018-04-09,AU,15,5,10
2018-04-18-ttt-leeds,2018-04-09,GB,5,5,3
2018-04-19-ttt-macquarie,2018-04-19,AU,12,5,6
2018-04-19-ttt-online,2018-04-19,W3,16,"5,6",7
2018-04-23-ttt-nz,2018-04-23,NZ,15,5,6
2018-04-24-ttt-online,2018-04-24,W3,8,"5,6",1
2018-04-30-ttt-computecanada,2018-04-30,W3,21,"5,6",9
2018-05-07-ttt-monash,2018-05-07,AU,14,5,7
2018-05-07-ttt-uiuc,2018-05-07,US,6,5,4
2018-05-09-ttt-monsanto,2018-05-09,,8,5,1
2018-05-16-ttt-arizona,2018-05-16,US,14,5,7
2018-05-21-ttt-UW_eScience,2018-05-21,US,14,5,8
2018-05-24-ttt-online,2018-05-24,W3,16,"5,6",5
2018-06-04-ttt-ethiopia,2018-06-04,ET,15,5,2
2018-06-11-ttt-jax,2018-06-11,US,11,5,8
2018-06-12-ttt-online,2018-06-12,W3,10,"5,6",5
2018-06-18-ttt-usda,2018-06-18,US,16,5,9
2018-06-20-ttt-online,2018-06-20,W3,10,"5,6",4
2018-06-25-ttt-DIBSI,2018-06-25,US,16,5,13
2018-06-27-ttt-online,2018-06-27,W3,15,"5,6",8
2018-07-09-ttt-scipy,2018-07-09,US,16,5,7
2018-07-18-ttt-online,2018-07-18,W3,18,"5,6",9
2018-08-07-ttt-northwestern,2018-08-07,US,20,5,7
2018-08-14-ttt-online,2018-08-14,W3,12,"5,6",4
2018-08-18-ttt-LatinAmerica,2018-08-18,US,16,5,4
2018-08-23-ttt-otago,2018-08-23,NZ,9,5,4
2018-08-28-ttt,2018-08-28,W3,20,"5,6",7
2018-08-30-ttt-calgary,2018-08-30,CA,26,5,8
2018-09-06-ttt-CarpentryConnect-JHB,2018-09-06,ZA,37,5,1
2018-09-10-trainer-training,2018-09-10,W3,19,6,12
2018-09-13-ttt-online,2018-09-13,W3,14,"5,6",2
2018-09-17-geospatial-onboarding,2018-09-17,W3,38,6,27
2018-09-25-ttt-online,2018-09-25,W3,15,"5,6",2
2018-10-08-ttt-EMBL,2018-10-08,DE,21,5,
2018-10-08-ttt_BiXCoP,2018-10-08,KE,9,5,3
2018-10-09-ttt-online,2018-10-09,GB,24,"5,6",5
2018-10-10-ttt-online-EST,2018-10-10,W3,27,"5,6",9
2018-10-10-ttt-online-PST,2018-10-10,W3,23,"5,6",1
2018-10-16-ttt-online,2018-10-16,W3,13,"5,6",
2018-10-18-ttt-SFU,2018-10-18,CA,5,5,
2018-10-22-ttt-stanford,2018-10-22,US,13,5,
2018-10-24-ttt-uri,2018-10-24,US,12,5,1
2018-10-29-social-science-onboarding,2018-10-29,,20,6,15
2018-11-05-ttt-online,2018-11-05,W3,13,"5,6",
2018-11-06-ttt-SBDH,2018-11-06,US,13,5,
2018-11-07-NWU-ttt,2018-11-07,ZA,13,5,
2018-11-08-ttt-online,2018-11-08,W3,15,"5,6",
2018-11-15-ttt-cyverse,2018-11-15,US,10,5,
2018-11-27-ttt-online,2018-11-27,W3,9,"5,6",
2018-11-29-ttt-online,2018-12-06,W3,17,"5,6",
2018-12-11-ttt-online,2018-12-11,W3,1,"5,6",
