gender
Male
NA
Female
Female
Male
Prefer not to answer
Female
Female
NA
NA
Male
Female
Female
NA
Female
Female
NA
NA
Female
Male
NA
Female
NA
Male
NA
NA
Male
Female
Female
Female
NA
NA
Female
NA
Male
Male
Female
Prefer not to answer
Female
NA
Male
NA
Female
NA
NA
NA
Female
NA
Female
NA
NA
NA
Female
Female
Female
NA
Female
Female
NA
NA
Female
NA
Male
Male
NA
NA
Female
NA
NA
NA
Female
Gender variant/non-conforming
Male
Male
Female
NA
NA
NA
Gender variant/non-conforming
Female
Male
NA
NA
NA
Male
Female
Female
