slug,start,end,fullname,agreement_start,agreement_end
2018-06-14-NWU,2018-06-14,2018-06-15,North-West University,2017-08-15,2018-08-15
2018-06-14-umich,2018-06-14,2018-06-15,University of Michigan,2017-07-15,2018-07-15
2018-06-14-umich,2018-06-14,2018-06-15,University of Michigan,2018-05-04,2019-05-04
2018-06-26-NASA,2018-06-26,2018-06-27,NASA (National Aeronautics and Space Administration),2018-01-10,2019-01-10
2018-06-26-ucsd,2018-06-26,2018-06-29,University of California San Diego,2017-07-15,2018-07-15
2018-06-27-DIBSI-Genomics,2018-06-27,2018-06-28,University of California Davis,2018-01-01,2019-01-01
2018-06-27-DIBSI-Geospatial,2018-06-27,2018-06-28,University of California Davis,2018-01-01,2019-01-01
2018-06-27-DIBSI-SWC,2018-06-28,2018-06-29,University of California Davis,2018-01-01,2019-01-01
2018-06-27-DIBSI-SocialSci,2018-06-27,2018-06-28,University of California Davis,2018-01-01,2019-01-01
2018-06-27-LBNL,2018-06-27,2018-06-28,Lawrence Berkeley National Laboratory,2018-04-01,2018-09-30
2018-06-27-SpanishSWC,2018-06-27,2018-06-28,University of California Davis,2018-01-01,2019-01-01
2018-06-29-und-mbdh,2018-06-29,2018-06-30,University of North Dakota,2017-10-01,2018-10-01
2018-07-03-ResBazPythonIntro,2018-07-03,2018-07-04,Macquarie University,2017-11-15,2018-11-15
2018-07-03-ResbazSydney,2018-07-03,2018-07-04,Macquarie University,2017-11-15,2018-11-15
2018-07-03-manchester,2018-07-03,2018-07-04,University of Manchester,2017-06-01,2020-12-30
2018-07-03-resbaz-python-advanced,2018-07-03,2018-07-04,Macquarie University,2017-11-15,2018-11-15
2018-07-03-resbaz-sydneyAdvR,2018-07-03,2018-07-04,Macquarie University,2017-11-15,2018-11-15
2018-07-03-resbaz2018sql,2018-07-03,2018-07-04,Macquarie University,2017-11-15,2018-11-15
2018-07-04-otago-dc,2018-07-04,2018-07-05,University of Otago,2018-01-01,2019-01-01
2018-07-05-dunedin,2018-07-05,2018-07-05,University of Otago,2018-01-01,2019-01-01
2018-07-18-NWU-Mafikeng,2018-07-18,2018-07-20,North-West University,2017-08-15,2018-08-15
2018-07-23-nyu,2018-07-23,2018-07-24,New York University,2018-05-01,2019-05-01
2018-07-25-LBNL,2018-07-25,2018-07-26,Lawrence Berkeley National Laboratory,2018-04-01,2018-09-30
2018-08-15-whoi,2018-08-15,2018-08-15,Woods Hole Oceanographic Institute,2018-04-15,2019-04-15
2018-08-23-LBNL,2018-08-23,2018-08-24,Lawrence Berkeley National Laboratory,2018-04-01,2018-09-30
2018-08-23-ttt-otago,2018-08-23,2018-08-24,University of Otago,2018-01-01,2019-01-01
2018-09-17-und-mbdh,2018-09-17,2018-09-18,University of North Dakota,2017-10-01,2018-10-01
2018-10-04-nyu,2018-10-04,2018-10-05,New York University,2018-05-01,2019-05-01
2018-25-06-UF-DataCarp,2018-06-25,2018-06-25,University of Florida,2017-08-15,2018-08-15
2019-01-10-nyu,2019-01-10,2019-01-11,New York University,2018-05-01,2019-05-01
2019-02-28-nyu,2019-02-28,2019-03-01,New York University,2018-05-01,2019-05-01
